title,GENRE,genre/SUB,LANGUAGE,language/SUB,imdb_score,premiere,runtime,year
The Day of the Lord,Drama,Drama_SPECIFIC,Spanish,Spanish,4.9,10/30/2020,93,2020
Milestone,Drama,Drama_SPECIFIC,Hindi,Hindi,6.6,05-07-2021,98,2021
Sardar Ka Grandson,Comedy,Comedy_SPECIFIC,Hindi,Hindi,4.1,5/18/2021,139,2021
The After Party,Comedy,Comedy_SPECIFIC,English,English_SPECIFIC,5.8,8/24/2018,89,2018
Gaga: Five Foot Two,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,7,9/22/2017,100,2017
Disclosure: Trans Lives on Screen,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,8.2,6/19/2020,107,2020
A Love Song for Latasha,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,6.8,9/21/2020,19,2020
Struggle: The Life and Lost Art of Szukaiski,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,8,12/21/2018,105,2018
1922,Horror,Horror/Crime drama,English,English_SPECIFIC,6.3,10/20/2017,102,2017
Hot Girls Wanted,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,6.1,5/29/2015,84,2015
Klaus,Animation,Animation/Christmas/Comedy/Adventure,English,English_SPECIFIC,8.2,11/15/2019,97,2019
I Don't Feel at Home in This World Anymore,Drama,Drama_SPECIFIC,English,English_SPECIFIC,6.9,2/24/2017,96,2017
Earth and Blood,ACTION,Action_ONLY,French_SPECIFIC,French,4.9,4/17/2020,80,2020
Nobody Speak: Trials of the Free Press,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,6.5,6/23/2017,95,2017
Òlòt?ré,Crime ,Crime drama,English,English_SPECIFIC,5.5,10-02-2020,106,2020
The Prom,Musical,Musical_,English,English_SPECIFIC,5.9,12-11-2020,132,2020
Fractured,Thriller,Thriller_SPECIFIC,English,English_SPECIFIC,6.4,10-11-2019,100,2019
7 años,Drama,Drama_SPECIFIC,Spanish,Spanish,6.8,10/28/2016,76,2016
Antoine Griezmann: The Making of a Legend,Documentary,Documentary_SPECIFIC,French_SPECIFIC,French,6.5,3/21/2019,60,2019
Fatal Affair,Thriller,Thriller_SPECIFIC,English,English_SPECIFIC,4.5,7/16/2020,89,2020
Music Teacher,Drama,Drama_SPECIFIC,Hindi,Hindi,6.3,4/19/2019,101,2019
Enter the Anime,Documentary,Documentary_SPECIFIC,English,English/Japanese,2.5,08-05-2019,58,2019
First Match,SPORTS,Sports-drama,English,English_SPECIFIC,6.4,3/30/2018,102,2018
Coffee & Kareem,ACTION,Action/Comedy,English,English_SPECIFIC,5.1,04-03-2020,88,2020
You've Got This,Romance,Romantic comedy,Spanish,Spanish,5.8,10-02-2020,111,2020
A Week Away,Christmas,Christian musical,English,English_SPECIFIC,5.7,3/26/2021,97,2021
The 40-Year-Old Version,Comedy,Comedy_SPECIFIC,English,English_SPECIFIC,7.2,10-09-2020,124,2020
What Happened to Mr. Cha?,Comedy,Comedy_SPECIFIC,Korean,Korean,4.3,01-01-2021,102,2021
Finding Agnes,Drama,Drama_SPECIFIC,Filipino,Filipino,4.7,11/30/2020,105,2020
A Whisker Away,Anime,Anime/Fantasy,Japanese,Japanese,6.7,6/18/2020,104,2020
Ghost Lab,Horror,Horror_SPECIFIC,Thai,Thai,5.2,5/26/2021,117,2021
ReMastered: Devil at the Crossroads,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,7,4/26/2019,48,2019
ReMastered: Tricky Dick & the Man in Black,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,7.1,11-02-2018,58,2018
Handsome: A Netflix Mystery Movie,Comedy,Comedy_SPECIFIC,English,English_SPECIFIC,5.2,05-05-2017,81,2017
Rim of the World,SCIENCE,Science fiction adventure,English,English_SPECIFIC,5.2,5/24/2019,98,2019
Notes from Dunblane: Lesson from a School Shooting,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,5.9,9/28/2018,23,2018
Homecoming: A Film by Beyonce ,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,7.5,4/17/2019,137,2019
Miss Americana,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,7.4,1/31/2020,85,2020
Always Be My Maybe,Romance,Romantic comedy,English,English_SPECIFIC,6.8,5/31/2019,102,2019
Holiday in the Wild,Adventure,Adventure-romance,English,English_SPECIFIC,6.1,11-01-2019,85,2019
Dude,comedy,Teen comedy-drama,English,English_SPECIFIC,5.1,4/20/2018,97,2018
Zion ,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,7.2,08-10-2018,11,2018
ReMastered: The Lion's Share,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,7,5/17/2019,84,2019
The Social Dilemma,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,7.6,09-09-2020,94,2020
Paris Is Us,Romance,Romance drama,French_SPECIFIC,French,4.6,2/22/2019,83,2019
Candy Jar,Comedy,Comedy_SPECIFIC,English,English_SPECIFIC,5.8,4/27/2018,92,2018
Blame!,Anime,Anime/Science fiction,Japanese,Japanese,6.7,5/20/2017,106,2017
The Life Ahead,Drama,Drama_SPECIFIC,Italian,Italian,6.8,11/13/2020,95,2020
A Christmas Prince: The Royal Wedding,Romance,Romantic comedy,English,English_SPECIFIC,5.3,11/30/2018,92,2018
Maska,Romance,Romantic comedy,Hindi,Hindi,5.9,3/27/2020,111,2020
AK vs AK,Thriller,Thriller_SPECIFIC,Hindi,Hindi,6.9,12/24/2020,108,2020
Eli,Horror,Horror_SPECIFIC,English,English_SPECIFIC,5.7,10/18/2019,98,2019
A Christmas Prince,Romance,Romantic comedy,English,English_SPECIFIC,5.8,11/17/2017,92,2017
The Babysitter,comedy,Teen comedy horror,English,English_SPECIFIC,6.3,10/13/2017,85,2017
I'm Thinking of Ending Things,Psychological,Psychological thriller,English,English_SPECIFIC,6.6,09-04-2020,134,2020
Death Note,Horror,Horror thriller,English,English_SPECIFIC,4.4,8/25/2017,100,2017
El Camino: A Breaking Bad Movie,Crime ,Crime drama,English,English_SPECIFIC,7.3,10-11-2019,121,2019
Los Tigres del Norte at Folsom Prison,Documentary,Documentary_SPECIFIC,Spanish,Spanish,7,9/15/2019,64,2019
They'll Love Me When I'm Dead,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,7.4,11-02-2018,98,2018
The Christmas Chronicles: Part Two,Christmas,Christmas comedy,English,English_SPECIFIC,6,11/25/2020,115,2020
Pele,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,7,2/23/2021,108,2021
Mowgli: Legend of the Jungle,Adventure,Adventure_ONLY,English,English_SPECIFIC,6.5,12-07-2018,104,2018
Have You Ever Seen Fireflies?,Comedy,Comedy_SPECIFIC,,Turkish,6.2,04-09-2021,114,2021
Extinction,SCIENCE,Science fiction/Thriller,English,English_SPECIFIC,5.8,7/27/2018,95,2018
High Flying Bird,SPORTS,Sports-drama,English,English_SPECIFIC,6.2,02-08-2019,90,2019
Malcolm & Marie,Romance,Romantic drama,English,English_SPECIFIC,6.7,02-05-2021,106,2021
Chasing Coral ,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,8.1,7/14/2017,89,2017
Stuck Apart,Drama,Drama_SPECIFIC,,Turkish,6.1,01-08-2021,96,2021
John Was Trying to Contact Aliens,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,6.4,8/20/2020,16,2020
Rising Phoenix,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,8.1,8/26/2020,106,2020
Joan Didion: The Center Will Not Hold,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,7.5,10/27/2017,98,2017
Feminists: What Were They Thinking?,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,7,10-12-2018,86,2018
Okja,ACTION,Action-adventure,English,English/Korean,7.3,6/28/2017,121,2017
Extremis,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,7.3,9/13/2016,24,2016
Been So Long,Musical,Musical_,English,English_SPECIFIC,5.5,10/26/2018,100,2018
To All the Boys: Always and Forever,Romance,Romantic comedy,English,English_SPECIFIC,6.3,02-12-2021,109,2021
The Black Godfather,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,7.4,06-07-2019,118,2019
The Minimalists: Less Is Now,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,5.9,01-01-2021,53,2021
Ajeeb Daastaans,Drama,Drama_SPECIFIC,Hindi,Hindi,6.7,4/16/2021,142,2021
Da 5 Bloods,War,War drama,English,English_SPECIFIC,6.5,06-12-2020,155,2020
The Week Of,Comedy,Comedy_SPECIFIC,English,English_SPECIFIC,5.2,4/27/2018,116,2018
The Last Paradiso,Romance,Romantic drama,Italian,Italian,5.6,02-05-2021,107,2021
I'll Sleep When I'm Dead,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,6.6,8/19/2016,79,2016
Amateur,SPORTS,Sports-drama,English,English_SPECIFIC,5.9,04-06-2018,96,2018
Take the 10,Comedy,Comedy_SPECIFIC,English,English_SPECIFIC,4.8,1/20/2017,80,2017
Have a Good Trip: Adventures in Psychedelics,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,6.8,05-11-2020,85,2020
Rebecca,Romance,Romantic thriller,English,English_SPECIFIC,6,10/21/2020,123,2020
6 Underground,ACTION,Action_ONLY,English,English_SPECIFIC,6.1,12/13/2019,128,2019
Tell Me Who I Am,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,7.6,10/18/2019,85,2019
Project Power,Superhero,Superhero_SPECIFIC,English,English_SPECIFIC,6,8/14/2020,113,2020
The Dig,Drama,Drama_SPECIFIC,English,English_SPECIFIC,7.1,1/29/2021,112,2021
A Very Murray Christmas,Comedy,Comedy / Musical,English,English_SPECIFIC,5.5,12-04-2015,56,2015
My Beautiful Broken Brain,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,7.1,3/18/2016,91,2016
The Kissing Booth 2,Romance,Romantic comedy,English,English_SPECIFIC,5.8,7/24/2020,131,2020
Beasts of No Nation,War,War drama,English,English/Akan,7.7,10/16/2015,136,2015
All Day and a Night,Drama,Drama_SPECIFIC,English,English_SPECIFIC,5.8,05-01-2020,121,2020
Altered Carbon: Resleeved,Anime,Anime/Science fiction,Japanese,Japanese,6.5,3/19/2020,74,2020
War Machine,War,War-Comedy,English,English_SPECIFIC,6,5/26/2017,122,2017
Point Blank,ACTION,Action_ONLY,English,English_SPECIFIC,5.7,07-12-2019,86,2019
Evelyn,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,7.1,09-10-2019,96,2019
A 3 Minute Hug,Documentary,Documentary_SPECIFIC,English,English/Spanish,6.5,10/28/2019,28,2019
Prime Time,Thriller,Thriller_SPECIFIC,Polish,Polish,5.7,4/14/2021,91,2021
Citation,Drama,Drama_SPECIFIC,English,English_SPECIFIC,6.2,11-06-2020,151,2020
"Strip Down, Rise Up",Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,5.2,02-05-2021,112,2021
The Sleepover,Comedy,Comedy_SPECIFIC,English,English_SPECIFIC,5.6,8/21/2020,103,2020
Knock Down the House,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,7.1,05-01-2019,87,2019
Mercury 13,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,6.8,4/20/2018,79,2018
Travis Scott: Look Mom I Can Fly,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,6.3,8/28/2019,85,2019
Sturgill Simpson Presents: Sound & Fury,Animation,Animation / Musicial,English,English_SPECIFIC,6.4,9/27/2019,41,2019
A Christmas Prince: The Royal Baby,Romance,Romantic comedy,English,English_SPECIFIC,5.4,12-05-2019,85,2019
Bomb Scared,comedy,Black comedy,Spanish,Spanish/Basque,5.6,10-12-2017,89,2017
The Edge of Democracy,Documentary,Documentary_SPECIFIC,Portuguese,Portuguese,7.2,6/19/2019,121,2019
Father of the Year,Comedy,Comedy_SPECIFIC,English,English_SPECIFIC,5.2,7/20/2018,94,2018
"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Cliffton ",Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,7.7,11/17/2017,94,2017
Voyuer ,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,6.2,12-01-2017,95,2017
A Futile and Stupid Gesture,comedy,Biographical/Comedy,English,English_SPECIFIC,6.8,1/26/2018,101,2018
What We Wanted,Drama,Drama_SPECIFIC,German,German,5.8,11-11-2020,93,2020
Time to Hunt,Thriller,Thriller_SPECIFIC,Korean,Korean,6.3,4/23/2020,134,2020
The Outsider,Crime ,Crime drama,English,English/Japanese,6.3,03-09-2018,120,2018
Quincy,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,7.6,9/21/2018,124,2018
The Three Deaths of Marisela Escobedo,Documentary,Documentary_SPECIFIC,Spanish,Spanish,8.2,10/14/2020,109,2020
TAU,SCIENCE,Science fiction/Thriller,English,English_SPECIFIC,5.8,6/29/2018,97,2018
Giving Voice,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,6.7,12-11-2020,90,2020
One Take,Documentary,Documentary_SPECIFIC,Thai,Thai,5.7,6/18/2020,85,2020
"What Happened, Miss Simone?",Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,7.6,6/26/2015,84,2015
The Last Laugh,Comedy,Comedy-drama,English,English_SPECIFIC,5.6,01-11-2019,98,2019
The Decline,Thriller,Thriller_SPECIFIC,French_SPECIFIC,French,5.9,3/27/2020,83,2020
Horse Girl,Drama,Drama_SPECIFIC,English,English_SPECIFIC,5.9,02-07-2020,104,2020
Invader Zim: Enter the Florpus,Animation,Animation / Science Fiction,English,English_SPECIFIC,7.5,8/16/2019,71,2019
Mercy,Thriller,Thriller_SPECIFIC,English,English_SPECIFIC,4.2,11/22/2016,90,2016
Cargo,Drama,Drama/Horror,English,English_SPECIFIC,6.3,5/18/2018,104,2018
Airplane Mode,Comedy,Comedy_SPECIFIC,Portuguese,Portuguese,5,1/23/2020,96,2020
Period. End of Sentence.,Documentary,Documentary_SPECIFIC,English,English/Hindi,7.4,02-12-2019,26,2019
The Wrong Missy,Comedy,Comedy_SPECIFIC,English,English_SPECIFIC,5.7,5/13/2020,90,2020
The Disciple,Drama,Drama_SPECIFIC,Marathi,Marathi,7.2,4/30/2021,129,2021
The Girl on the Train,Thriller,Thriller_SPECIFIC,Hindi,Hindi,4.4,2/26/2021,120,2021
Mute,SCIENCE,Science fiction/Mystery,English,English_SPECIFIC,5.5,2/23/2018,126,2018
The Rachel Divide,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,6.2,4/27/2018,104,2018
Tramps,Romance,Romance_SPECIFIC,English,English_SPECIFIC,6.5,4/21/2017,83,2017
The Larva Island Movie,Animation,Animation_ONLY,English,English_SPECIFIC,5.1,7/23/2020,90,2020
Sol Levante,Anime,Anime / Short,English,English_SPECIFIC,4.7,04-02-2020,4,2020
Vampires vs. the Bronx,Horror,Horror comedy,English,English_SPECIFIC,5.6,10-02-2020,86,2020
Someone Great,Romance,Romantic comedy,English,English_SPECIFIC,6.2,4/19/2019,92,2019
Joshua: Teenager vs. Superpower,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,7.1,5/26/2017,78,2017
Dark Forces,Thriller,Thriller_SPECIFIC,Spanish,Spanish,2.6,8/21/2020,81,2020
A Babysitter's Guide to Monster Hunting,Comedy,Comedy/Fantasy/Family,English,English_SPECIFIC,5.4,10/15/2020,98,2020
The Red Sea Diving Resort, thriller,Spy thriller,English,English_SPECIFIC,6.6,7/31/2019,130,2019
Between Two Ferns: The Movie,Comedy,Comedy_SPECIFIC,English,English_SPECIFIC,6.1,9/20/2019,82,2019
Deidra & Laney Rob a Train,Drama,Drama_SPECIFIC,English,English_SPECIFIC,6.1,3/17/2017,94,2017
Tersanjung the Movie,Drama,Drama_SPECIFIC,Indonesian,Indonesian,6.1,04-01-2021,114,2021
American Son,Drama,Drama_SPECIFIC,English,English_SPECIFIC,5.8,11-01-2019,90,2019
6 Balloons,Drama,Drama_SPECIFIC,English,English_SPECIFIC,5.9,04-06-2018,75,2018
Finding 'Ohana,Family,Family_SPECIFIC,English,English_SPECIFIC,6.1,1/29/2021,123,2021
Street Flow,Drama,Drama_SPECIFIC,French_SPECIFIC,French,6.4,10-12-2019,96,2019
Lovefucked,Drama,Drama_SPECIFIC,Hindi,Hindi,6,08-09-2019,106,2019
Jingle Jangle: A Christmas Journey,Family,Family/Christmas musical,English,English_SPECIFIC,6.5,11/13/2020,119,2020
Love Like the Falling Rain,Drama,Drama_SPECIFIC,Indonesian,Indonesian,5,10/15/2020,86,2020
Ibiza,Comedy,Comedy_SPECIFIC,English,English_SPECIFIC,5.2,5/25/2018,94,2018
The Binding,Drama,Drama_SPECIFIC,Italian,Italian,4.7,10-02-2020,93,2020
Rose Island,Comedy,Comedy_SPECIFIC,Italian,Italian,7,12-09-2020,117,2020
GIMS: On the Record,Documentary,Documentary_SPECIFIC,French_SPECIFIC,French,6.8,9/17/2020,96,2020
Falling Inn Love,Romance,Romantic comedy,English,English_SPECIFIC,5.6,8/29/2019,97,2019
Cam,Psychological,Psychological horror,English,English_SPECIFIC,5.9,11/16/2018,94,2018
Yes Day,Comedy,Comedy_SPECIFIC,English,English_SPECIFIC,5.7,03-12-2021,86,2021
American Murder: The Family Next Door,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,7.2,9/30/2020,82,2020
Good Sam,Drama,Drama_SPECIFIC,English,English_SPECIFIC,5.7,5/16/2019,89,2019
Thunder Force,Superhero,Superhero-Comedy,English,English_SPECIFIC,4.4,04-09-2021,105,2021
The Christmas Chronicles,Christmas,Christmas/Fantasy/Adventure/Comedy,English,English_SPECIFIC,7,11/22/2018,104,2018
Long Shot,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,7.4,9/29/2017,40,2017
Paddleton,Drama,Drama-Comedy,English,English_SPECIFIC,7.2,2/22/2019,89,2019
Rolling Thunder Revue: A bob Dylan Story by Martin Scorsere,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,7.6,06-12-2019,144,2019
Freaks: You're One of Us,Superhero,Supernatural drama,German,German,5.4,09-02-2020,92,2020
Squared Love,Romance,Romantic comedy,Polish,Polish,5,02-11-2021,102,2021
My Own Man,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,6.4,12/13/2014,81,2014
Biggie: I Got a Story to Tell,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,6.9,03-01-2021,97,2021
